	chao1	shannon	observed_otus
2.21.M03.S.1130P.743609	744.478873239	4.60785338737	467.0
4.23.M03.S.10P.742630	793.443037975	4.59479815063	513.0
4.28.M03.S.500P.742845	963.205128205	4.87975391303	580.0
3.02.M03.S.9A.742234	770.1	4.01387687014	426.0
4.21.M03.S.1P.743626	739.781818182	3.96391857758	437.0
4.20.M03.S.8A.742586	888.769230769	5.01562341238	557.0
4.07.M03.S.10A.743529	765.174418605	5.08074847158	510.0
1.27.M03.S.742707	1039.60869565	6.24447433455	639.0
1.13.M03.S.742909	834.411764706	5.6429348321	551.0
4.30.M03.S.800A.742336	876.696202532	4.73394781161	552.0
1.20.M03.S.742857	801.202531646	5.63012262168	510.0
2.20.M03.S.11A.743584	821.766233766	5.03365516028	523.0
1.22.M03.S.10A.743510	848.325842697	5.78607321247	555.0
3.6.M02.S.743028	971.455696203	6.18443533682	590.0
2.19.M01.M.743480	373.285714286	2.7832718517	207.0
2.14.M03.S.5P.742664	981.185185185	6.07046603151	600.0
3.07.M01.S1551.743618	690.666666667	4.69411394971	444.0
2.21.M02.S.742971	1124.0	6.56905668842	673.0
3.18.M01.S1208.743116	858.453125	5.5371009233	499.0
2.18.M02.M.742718	293.0	4.01305148753	188.0
2.10.M02.M.743196	305.0	4.70183165216	200.0
3.01.M03.M.742457	393.306122449	5.15056520346	306.0
2.07.F01.M.743345	336.037037037	4.48585255791	210.0
4.12.M03.M.743335	407.825	5.08625555513	289.0
2.14.M02.M.743544	304.333333333	4.24136984895	186.0
4.01.M03.M.743238	442.895833333	5.17014063484	318.0
4.08.M03.M.743204	474.0	5.05202027094	279.0
4.19.M03.M.743547	470.619047619	4.82447418203	258.0
4.15.M01.S1430.742256	797.0	5.9946590847	512.0
4.12.M01.S1820.742378	723.014705882	5.92283014265	470.0
3.19.M01.S841.742937	948.9	5.99610336361	546.0
4.09.M01.S859.742926	902.973684211	6.06063305835	535.0
3.30.M01.S1324.742780	814.918918919	5.90177739461	524.0
1.20.F01.S.742432	641.333333333	5.0541217727	416.0
